original_trials_25-1_percent	original_trials_25-1_to_knn	original_trials_1-1_percent	original_trials_1-1_to_knn	original_trials_1-25_percent	original_trials_1-25_to_knn	original_trials_25-25_percent	original_trials_25-25_to_knn	original_trials_1-50_percent	original_trials_1-50_to_knn	original_trials_1-75_rna_acc	original_trials_25-50_percent	original_trials_25-50_to_knn	original_trials_1-75_percent	original_trials_1-75_to_knn	original_trials_25-75_percent	original_trials_25-75_to_knn	with_ho_1_25-1_percent	with_ho_1_25-1_to_knn	with_ho_1_1-1_percent	with_ho_1_1-1_to_knn	with_ho_1_1-25_percent	with_ho_1_1-25_to_knn	with_ho_1_25-25_percent	with_ho_1_25-25_to_knn	with_ho_1_1-50_percent	with_ho_1_1-50_to_knn	with_ho_1_1-75_rna_acc	with_ho_1_25-50_percent	with_ho_1_25-50_to_knn	with_ho_1_1-75_percent	with_ho_1_1-75_to_knn	with_ho_1_25-75_percent	with_ho_1_25-75_to_knn	with_ho_1-1_25-1_percent	with_ho_1-1_25-1_to_knn	with_ho_1-1_1-1_percent	with_ho_1-1_1-1_to_knn	with_ho_1-1_1-25_percent	with_ho_1-1_1-25_to_knn	with_ho_1-1_25-25_percent	with_ho_1-1_25-25_to_knn	with_ho_1-1_1-50_percent	with_ho_1-1_1-50_to_knn	with_ho_1-1_1-75_rna_acc	with_ho_1-1_25-50_percent	with_ho_1-1_25-50_to_knn	with_ho_1-1_1-75_percent	with_ho_1-1_1-75_to_knn	with_ho_1-1_25-75_percent	with_ho_1-1_25-75_to_knn	with_ho_0-1_25-1_percent	with_ho_0-1_25-1_to_knn	with_ho_0-1_1-1_percent	with_ho_0-1_1-1_to_knn	with_ho_0-1_1-25_percent	with_ho_0-1_1-25_to_knn	with_ho_0-1_25-25_percent	with_ho_0-1_25-25_to_knn	with_ho_0-1_1-50_percent	with_ho_0-1_1-50_to_knn	with_ho_0-1_1-75_rna_acc	with_ho_0-1_25-50_percent	with_ho_0-1_25-50_to_knn	with_ho_0-1_1-75_percent	with_ho_0-1_1-75_to_knn	with_ho_0-1_25-75_percent	with_ho_0-1_25-75_to_knn	original_25-75_rna_acc	original_25-75_percent	original_25-75_to_knn
95	70	95	62	96	53	95	59	94	32	97.000000	94	41	93	15	94	26	95	100	95	58	95	44	95	82	95	27	99.000000	95	80	95	22	94	58	95	72	95	59	96	53	95	68	93	51	97.000000	96	68	95	24	94	47	94	70	94	60	95	58	94	64	95	31	95.000000	94	69	90	17	91	28	96.000000	94	33
95	66	95	55	94	41	95	56	98	23	92.000000	95	39	91	9	95	25	95	99	95	51	95	41	96	51	95	30	97.000000	96	40	96	24	96	63	96	70	97	49	96	49	96	60	95	45	95.000000	96	66	95	40	96	28	93	61	93	49	94	39	95	52	94	48	92.000000	95	44	93	10	96	40	93.000000	94	22
96	60	96	52	96	41	96	49	93	28	98.000000	96	38	96	16	97	25	97	60	97	51	97	45	97	83	97	28	98.000000	98	76	96	13	98	38	96	60	97	51	95	33	97	57	93	23	98.000000	97	44	95	46	96	23	97	58	94	48	97	37	97	59	96	51	96.000000	96	53	94	16	97	43	97.000000	97	26
97	62	99	50	99	33	97	45	99	29	95.000000	97	36	98	16	97	25	97	100	99	49	99	36	97	87	99	34	98.000000	97	40	99	19	97	69	97	62	99	50	98	46	97	60	100	48	100.000000	97	56	99	46	97	57	97	65	96	53	99	49	97	50	99	43	100.000000	96	56	98	36	94	29	99.000000	97	30
96	60	97	48	95	34	96	54	97	24	96.000000	97	34	93	7	96	100	96	100	96	48	98	36	99	90	99	22	99.000000	97	34	98	12	99	20	96	59	96	46	99	38	97	54	98	45	96.000000	98	56	98	37	98	23	96	59	97	49	98	31	97	49	98	35	97.000000	96	60	98	10	97	50	97.000000	97	19
96	72	97	56	97	53	96	66	96	39	93.000000	96	51	97	18	96	36	96	98	98	54	99	40	97	84	99	31	95.000000	97	87	98	16	97	35	96	66	98	52	94	47	97	63	98	44	93.000000	97	63	96	30	97	35	96	73	96	49	95	42	94	70	98	32	91.000000	97	62	93	17	95	35	93.000000	96	34
96	65	96	51	96	51	96	53	95	34	98.000000	96	45	96	16	94	24	96	100	96	48	95	37	96	81	96	13	99.000000	96	80	96	8	96	64	97	62	96	48	96	39	96	63	96	38	99.000000	96	58	96	16	96	56	96	62	96	54	96	42	96	43	95	24	97.000000	96	43	95	43	96	22	98.000000	94	27
98	69	96	59	98	54	99	69	98	30	92.000000	98	40	97	12	98	22	99	70	98	58	99	45	99	87	98	27	99.000000	99	67	98	11	99	58	99	67	98	59	99	55	99	59	99	54	97.000000	99	54	99	57	98	30	99	70	99	66	98	48	99	72	98	44	93.000000	99	41	99	62	98	28	97.000000	98	24
95	64	99	48	99	34	95	50	99	15	95.000000	93	32	99	7	95	19	93	64	99	47	99	40	93	86	98	36	96.000000	93	79	98	16	93	60	95	62	98	47	98	43	95	56	98	45	94.000000	95	58	97	43	95	57	93	66	96	49	96	46	93	64	97	25	93.000000	93	48	97	41	93	27	95.000000	95	23
98	66	97	55	98	42	98	56	98	26	99.000000	98	41	98	21	99	28	98	67	98	52	98	39	100	85	98	24	99.000000	98	67	99	11	98	60	97	65	98	54	97	48	98	64	97	49	98.000000	98	60	96	12	97	60	98	69	98	57	98	41	98	48	98	55	96.000000	98	46	98	19	98	56	99.000000	99	30
