,original_25-75_percent,original_25-75_rna_acc,original_trials_1-1_percent,original_trials_1-25_percent,original_trials_1-50_percent,original_trials_1-75_percent,original_trials_1-75_rna_acc,original_trials_25-1_percent,original_trials_25-25_percent,original_trials_25-50_percent,original_trials_25-75_percent,with_ho_0-1_1-1_percent,with_ho_0-1_1-25_percent,with_ho_0-1_1-50_percent,with_ho_0-1_1-75_percent,with_ho_0-1_1-75_rna_acc,with_ho_0-1_25-1_percent,with_ho_0-1_25-25_percent,with_ho_0-1_25-50_percent,with_ho_0-1_25-75_percent,with_ho_1-1_1-1_percent,with_ho_1-1_1-25_percent,with_ho_1-1_1-50_percent,with_ho_1-1_1-75_percent,with_ho_1-1_1-75_rna_acc,with_ho_1-1_25-1_percent,with_ho_1-1_25-25_percent,with_ho_1-1_25-50_percent,with_ho_1-1_25-75_percent,with_ho_1_1-1_percent,with_ho_1_1-25_percent,with_ho_1_1-50_percent,with_ho_1_1-75_percent,with_ho_1_1-75_rna_acc,with_ho_1_25-1_percent,with_ho_1_25-25_percent,with_ho_1_25-50_percent,with_ho_1_25-75_percent
original_25-75_percent,-1.0,0.588642376800609,0.5283056964609478,0.40258784043924967,0.3837177317754842,0.9177987195533048,0.7264350767069788,0.9465144164290374,0.9539112078827212,0.9104304727991934,0.9374802146844023,0.8268068237096958,0.5660823897547309,0.3842814760557356,0.9104304727991934,0.3899467481224238,0.9112487983472335,0.9621344958811753,0.8867438435352254,0.6827601680826928,0.1682610749731711,0.40258784043924967,0.3781081742181094,0.6320238046209175,0.43100732653392837,0.8340500360318442,0.5089172909539947,0.3471071013000341,0.7607770669231416,0.2264379769085456,0.10582368102031996,0.1029599911495266,0.13641460737396063,0.020616652895939124,0.9292742514323237,0.3243164650225253,0.4977275019493954,0.3854104837708019
original_25-75_rna_acc,0.588642376800609,-1.0,0.9284540540494168,0.7670743226662191,0.7412018080422799,0.6616780895012762,0.37310299901782107,0.5432611162099162,0.6290896635410482,0.5135628734065363,0.5357571221795966,0.44749180944389966,0.9736536738651,0.7419817064508059,0.5135628734065363,0.16135814074011268,0.5142283253964466,0.5563446042572346,0.49446148917946864,0.34236434247389536,0.40258784043925,0.7670743226662191,0.7334175639386318,0.9506232168368126,0.8051677865819412,0.7404221754196285,0.9047049022578366,0.6895904501189933,0.8131658022398125,0.5036351420751228,0.28172670017629076,0.2757724169789134,0.34288925987290975,0.07604205165562401,0.6512355085683629,0.6564484094814413,0.8908211360359479,0.7435422976630817
original_trials_1-1_percent,0.5283056964609478,0.9284540540494168,-1.0,0.8364676051017661,0.8099642069929323,0.5979244919131146,0.3268561057360404,0.48537795123207106,0.5667810643632443,0.45742714451597755,0.4783047521811302,0.39566251049183443,0.9547333304197594,0.810764309991146,0.45742714451597755,0.13614315428499443,0.45805218840160156,0.4977275019493954,0.4395104863072531,0.2986680040946198,0.45493176369383237,0.8364676051017661,0.8019742293720364,0.8794123372340723,0.8753436997993325,0.6736934677197648,0.9761228663445437,0.7568492859596412,0.7443229889835934,0.5625952314988921,0.3238100829275672,0.3172740197520133,0.3905160549100595,0.09211645880129592,0.5879311324607444,0.7225656725382965,0.9621344958811753,0.8123651084186868
original_trials_1-25_percent,0.40258784043924967,0.7670743226662191,0.8364676051017661,-1.0,0.9728306646436815,0.4630697536945413,0.23527496104463064,0.3659461259938258,0.435854538837368,0.34236434247389536,0.3599576978942861,0.2910563278937006,0.7924135894159774,0.9736536738651,0.34236434247389536,0.0897491648585599,0.34288925987290964,0.3764352061101368,0.32736557979915504,0.21287163203223414,0.5886423768006093,1.0,0.9646023079432602,0.7202474239246773,0.9604894878965266,0.5303326563441007,0.8599138006354458,0.9177987195533048,0.5943465815377289,0.7094632116896324,0.43524692370972096,0.42739252537062644,0.5142283253964468,0.13942822724972606,0.4543091186460495,0.8818550560275176,0.8737171607646073,0.9752997755913201
original_trials_1-50_percent,0.3837177317754842,0.7412018080422799,0.8099642069929323,0.9728306646436815,-1.0,0.4425705120705363,0.22210938714559614,0.34816669892756247,0.41606280849993305,0.3253307753114092,0.34236434247389536,0.2757724169789132,0.7662863144060545,0.999176527781075,0.3253307753114092,0.0834908949096044,0.3258387034723018,0.35833523042194704,0.3108250698691608,0.20062735669191445,0.6123329430183979,0.9728306646436815,0.9917654225358667,0.6949204687392758,0.9333763480618391,0.5082554384939564,0.8332445269672502,0.9448712883652434,0.5709817707253759,0.7349722510863963,0.4555548890990003,0.4474918094439001,0.5364371401455206,0.1487768663214153,0.4340331609925705,0.908794107577767,0.8469613119853532,0.9975295868517643
original_trials_1-75_percent,0.9177987195533048,0.6616780895012762,0.5979244919131146,0.4630697536945413,0.4425705120705363,-1.0,0.6504921908659661,0.864780913824373,0.9637796650769078,0.8292196232290985,0.8558619262695832,0.7474483750191396,0.6379094672151935,0.4431839761940538,0.8292196232290985,0.33558722196719004,0.8300242490361827,0.8802264504982461,0.8059666862655899,0.6087164486518399,0.2024487671680364,0.4630697536945413,0.43646264280651537,0.7071597759242334,0.49380966450887254,0.9153418210228499,0.5773104796636206,0.40258784043924967,0.8405003104980525,0.2685626992497395,0.13001416290783618,0.12664593486454465,0.1657257085165782,0.026985667844482752,0.9884717880193988,0.377550010039606,0.5653841288019565,0.4444123612699571
original_trials_1-75_rna_acc,0.7264350767069788,0.37310299901782107,0.3268561057360404,0.23527496104463064,0.22210938714559614,0.6504921908659661,-1.0,0.7773400753433766,0.6835178192402493,0.8123651084186868,0.786057029333283,0.8957176912801332,0.3556413585567274,0.22250042906990808,0.8123651084186868,0.6101619054857599,0.8115646107343284,0.7623499138705723,0.8356615759200785,0.9530891343833195,0.08404481502578305,0.23527496104463064,0.21822601801536523,0.4072448370040891,0.25539590688040026,0.5759012480291147,0.3123055574469956,0.1970204717131273,0.5128978699470756,0.11888823061015083,0.049168850684416454,0.047642717233051336,0.065893427907504,0.007703329824962668,0.660929973368145,0.18171340726172525,0.30397745072637916,0.2232839910499237
original_trials_25-1_percent,0.9465144164290374,0.5432611162099162,0.48537795123207106,0.3659461259938258,0.34816669892756247,0.864780913824373,0.7773400753433766,-1.0,0.9006182224516524,0.9637796650769078,0.9909419985579996,0.8794123372340723,0.5215777830804706,0.34869726797702827,0.9637796650769078,0.4279937629232905,0.9646023079432602,0.984355027717704,0.9399433390974344,0.7326406297154029,0.1484867124699128,0.3659461259938258,0.34288925987290964,0.5850901366984484,0.3927983279980435,0.7820913798956741,0.466852946680405,0.31379068382647235,0.7102316153781266,0.20171876232755093,0.09211645880129592,0.08955412167177963,0.11962229931664468,0.01721812420346261,0.8761571672803773,0.2924734894550347,0.45617849456789417,0.34975994620590023
original_trials_25-25_percent,0.9539112078827212,0.6290896635410482,0.5667810643632443,0.435854538837368,0.41606280849993305,0.9637796650769078,0.6835178192402493,0.9006182224516524,-1.0,0.864780913824373,0.8916369446399875,0.7820913798956741,0.6058301191054354,0.4166546535217559,0.864780913824373,0.35887554106250674,0.865592603502835,0.9161606985137727,0.841307357711038,0.6408609110309308,0.18682935445836812,0.435854538837368,0.4101717036590967,0.6736934677197648,0.46558998073722047,0.8794123372340723,0.5466892380849988,0.377550010039606,0.8051677865819412,0.24940753205651445,0.11888823061015083,0.1157479954218048,0.15229255878130216,0.023999570449785238,0.9752997755913201,0.35349548383471197,0.5350775386746383,0.41783983238182765
original_trials_25-50_percent,0.9104304727991934,0.5135628734065363,0.45742714451597755,0.34236434247389536,0.3253307753114092,0.8292196232290985,0.8123651084186868,0.9637796650769078,0.864780913824373,-1.0,0.9728306646436815,0.9153418210228499,0.49250739601619087,0.32583870347230215,1.0,0.45493176369383215,0.9991765277810756,0.9481577720353792,0.9761228663445433,0.7670743226662191,0.13614315428499452,0.34236434247389536,0.3202798397758311,0.5542686138343336,0.368139061301585,0.7474483750191396,0.43951048630725353,0.2924734894550347,0.6767105176422756,0.18614114583025132,0.0836752054889209,0.08130471313549711,0.10920604745815789,0.015206321676245095,0.8405003104980525,0.2721512162207179,0.42919771391817474,0.3268561057360404
original_trials_25-75_percent,0.9374802146844023,0.5357571221795966,0.4783047521811302,0.3599576978942861,0.34236434247389536,0.8558619262695832,0.786057029333283,0.9909419985579996,0.8916369446399875,0.9728306646436815,-1.0,0.8883744070240513,0.5142283253964468,0.34288925987290975,0.9728306646436815,0.434639797677296,0.9736536738650996,0.9752997755913201,0.9489795329886042,0.7412018080422799,0.14532348203555437,0.3599576978942861,0.3371434549521365,0.5773104796636206,0.3865415160418222,0.7733869978935982,0.4599301921171788,0.30836789805489073,0.7017955384806259,0.1977380241673219,0.08994454989157771,0.08743109669830551,0.1169479730261003,0.016694427990601838,0.8672164074328415,0.28729983777830803,0.4493452859564988,0.34394063687638954
with_ho_0-1_1-1_percent,0.8268068237096958,0.44749180944389966,0.39566251049183443,0.2910563278937006,0.2757724169789132,0.7474483750191396,0.8957176912801332,0.8794123372340723,0.7820913798956741,0.9153418210228499,0.8883744070240513,-1.0,0.4279937629232904,0.2762273676159406,0.9153418210228499,0.5215777830804709,0.9145230333678915,0.8639693667899739,0.9391222326176046,0.8493868667688061,0.11035231056680984,0.2910563278937006,0.27125102485883645,0.48537795123207106,0.31428675684404683,0.6684262647906509,0.3792260263419841,0.24645043267164768,0.6007938439109923,0.15318128516143528,0.06635000457496283,0.06439017116829418,0.08762240537177256,0.011285540555954102,0.7584196511681445,0.22842528733085354,0.36978911985774365,0.27713880359621224
with_ho_0-1_1-25_percent,0.5660823897547309,0.9736536738651,0.9547333304197594,0.7924135894159774,0.7662863144060545,0.6379094672151935,0.3556413585567274,0.5215777830804706,0.6058301191054354,0.49250739601619087,0.5142283253964468,0.4279937629232904,-1.0,0.7670743226662191,0.49250739601619087,0.15170225855665345,0.49315829999828986,0.5343983900764766,0.47383312200421257,0.32583870347230215,0.42140726384173244,0.7924135894159774,0.7584196511681445,0.9243542245172978,0.830829053131755,0.7156186534412092,0.9309148707426129,0.714078040317703,0.7876448509855989,0.5249362216944399,0.29675273965676063,0.29058496859100513,0.3599576978942861,0.08166581609368198,0.6276247824174241,0.6804891343833874,0.916979664978179,0.7686510612204375
with_ho_0-1_1-50_percent,0.3842814760557356,0.7419817064508059,0.810764309991146,0.9736536738651,0.999176527781075,0.4431839761940538,0.22250042906990808,0.34869726797702827,0.4166546535217559,0.32583870347230215,0.34288925987290975,0.2762273676159406,0.7670743226662191,-1.0,0.32583870347230215,0.08367520548892084,0.32634714695361455,0.35887554106250696,0.3113180503252778,0.20099067868057452,0.6116088842977522,0.9736536738651,0.9909419985579991,0.6956831400124054,0.934196983258991,0.5089172909539947,0.8340500360318442,0.9440498118395216,0.5716833268696768,0.7341947713063357,0.45493176369383237,0.44687495113544595,0.5357571221795966,0.1484867124699128,0.4346397976772962,0.9079760696249181,0.8477696703542955,0.998353056439286
